BTC: market_cap=1.891558e+12, circulating_supply=1.980729e+07, price=95498.095295
ETH: market_cap=4.038912e+11, circulating_supply=1.204741e+08, price=3352.515595
USDT: market_cap=1.374562e+11, circulating_supply=1.375200e+11, price=0.999536
XRP: market_cap=1.328672e+11, circulating_supply=5.744905e+10, price=2.312783
BNB: market_cap=1.007427e+11, circulating_supply=1.440065e+08, price=699.570179
SOL: market_cap=9.511345e+10, circulating_supply=4.836574e+08, price=196.654580
DOGE: market_cap=5.130941e+10, circulating_supply=1.475364e+11, price=0.347775
USDC: market_cap=4.549128e+10, circulating_supply=4.549604e+10, price=0.999895
ADA: market_cap=3.464252e+10, circulating_supply=3.515115e+10, price=0.985530
TRX: market_cap=2.153270e+10, circulating_supply=8.618487e+10, price=0.249843
AVAX: market_cap=1.579971e+10, circulating_supply=4.102274e+08, price=38.514513
SUI: market_cap=1.377166e+10, circulating_supply=3.009569e+09, price=4.575957
LINK: market_cap=1.333566e+10, circulating_supply=6.381000e+08, price=20.899014
TON: market_cap=1.333514e+10, circulating_supply=2.539683e+09, price=5.250711
XLM: market_cap=1.291843e+10, circulating_supply=3.036940e+10, price=0.425377
SHIB: market_cap=1.275085e+10, circulating_supply=5.892553e+14, price=0.000022
HBAR: market_cap=1.074966e+10, circulating_supply=3.825667e+10, price=0.280988
DOT: market_cap=1.064087e+10, circulating_supply=1.536478e+09, price=6.925494
BCH: market_cap=8.631504e+09, circulating_supply=1.981286e+07, price=435.651675
LEO: market_cap=8.361950e+09, circulating_supply=9.243685e+08, price=9.046122
UNI: market_cap=8.005778e+09, circulating_supply=6.004831e+08, price=13.332229
BGB: market_cap=7.859609e+09, circulating_supply=1.200000e+09, price=6.549674
LTC: market_cap=7.781760e+09, circulating_supply=7.539559e+07, price=103.212397
PEPE: market_cap=7.666648e+09, circulating_supply=4.206899e+14, price=0.000018
HYPE: market_cap=7.162862e+09, circulating_supply=3.339282e+08, price=21.450306
NEAR: market_cap=6.044423e+09, circulating_supply=1.169125e+09, price=5.170042
USDe: market_cap=5.804115e+09, circulating_supply=5.810686e+09, price=0.998869
DAI: market_cap=5.364970e+09, circulating_supply=5.365383e+09, price=0.999923
ICP: market_cap=5.173941e+09, circulating_supply=4.787888e+08, price=10.806311
APT: market_cap=5.169769e+09, circulating_supply=5.590186e+08, price=9.247937
AAVE: market_cap=4.484184e+09, circulating_supply=1.504157e+07, price=298.119527
MNT: market_cap=4.170856e+09, circulating_supply=3.364694e+09, price=1.239594
RENDER: market_cap=4.067758e+09, circulating_supply=5.176977e+08, price=7.857400
POL: market_cap=3.900217e+09, circulating_supply=8.409848e+09, price=0.463768
CRO: market_cap=3.840070e+09, circulating_supply=2.657156e+10, price=0.144518
ETC: market_cap=3.824896e+09, circulating_supply=1.502675e+08, price=25.453909
OM: market_cap=3.724081e+09, circulating_supply=9.595420e+08, price=3.881102
VET: market_cap=3.692873e+09, circulating_supply=8.098504e+10, price=0.045599
XMR: market_cap=3.574446e+09, circulating_supply=1.844674e+07, price=193.771086
VIRTUAL: market_cap=3.519531e+09, circulating_supply=1.000000e+09, price=3.519531
TAO: market_cap=3.505054e+09, circulating_supply=7.380936e+06, price=474.879376
ARB: market_cap=3.396245e+09, circulating_supply=4.210112e+09, price=0.806688
FIL: market_cap=3.264078e+09, circulating_supply=6.198927e+08, price=5.265554
FET: market_cap=3.260278e+09, circulating_supply=2.440158e+09, price=1.336093
ALGO: market_cap=3.051006e+09, circulating_supply=8.350170e+09, price=0.365382
ENA: market_cap=2.961838e+09, circulating_supply=3.032812e+09, price=0.976598
KAS: market_cap=2.851989e+09, circulating_supply=2.550994e+10, price=0.111799
OKB: market_cap=2.848265e+09, circulating_supply=6.000000e+07, price=47.471091
ATOM: market_cap=2.578198e+09, circulating_supply=3.909342e+08, price=6.594965
OP: market_cap=2.468075e+09, circulating_supply=1.351719e+09, price=1.825879
PENGU: market_cap=2.346102e+09, circulating_supply=6.286040e+10, price=0.037322
STX: market_cap=2.329178e+09, circulating_supply=1.508062e+09, price=1.544484
INJ: market_cap=2.266991e+09, circulating_supply=9.897094e+07, price=22.905623
TIA: market_cap=2.250332e+09, circulating_supply=4.816983e+08, price=4.671663
BONK: market_cap=2.245667e+09, circulating_supply=7.626735e+13, price=0.000029
THETA: market_cap=2.193607e+09, circulating_supply=1.000000e+09, price=2.193607
IMX: market_cap=2.173824e+09, circulating_supply=1.719283e+09, price=1.264378
MOVE: market_cap=2.140139e+09, circulating_supply=2.250000e+09, price=0.951173
GRT: market_cap=2.026947e+09, circulating_supply=9.548532e+09, price=0.212278
WLD: market_cap=1.962036e+09, circulating_supply=8.694232e+08, price=2.256710
WIF: market_cap=1.855668e+09, circulating_supply=9.988447e+08, price=1.857814
FTM: market_cap=1.853104e+09, circulating_supply=2.803635e+09, price=0.660965
ONDO: market_cap=1.845866e+09, circulating_supply=1.389760e+09, price=1.328191
FDUSD: market_cap=1.815131e+09, circulating_supply=1.818594e+09, price=0.998096
SEI: market_cap=1.673087e+09, circulating_supply=4.207778e+09, price=0.397618
FLOKI: market_cap=1.653903e+09, circulating_supply=9.602553e+12, price=0.000172
JASMY: market_cap=1.647054e+09, circulating_supply=4.939500e+10, price=0.033345
GT: market_cap=1.602703e+09, circulating_supply=8.871550e+07, price=18.065648
LDO: market_cap=1.550942e+09, circulating_supply=8.960470e+08, price=1.730871
RAY: market_cap=1.480409e+09, circulating_supply=2.908886e+08, price=5.089264
SAND: market_cap=1.459809e+09, circulating_supply=2.445857e+09, price=0.596850
RUNE: market_cap=1.427305e+09, circulating_supply=3.417031e+08, price=4.177034
FLR: market_cap=1.406229e+09, circulating_supply=5.677416e+10, price=0.024769
XDC: market_cap=1.368772e+09, circulating_supply=1.493292e+10, price=0.091661
SPX: market_cap=1.335510e+09, circulating_supply=9.309931e+08, price=1.434500
GALA: market_cap=1.322270e+09, circulating_supply=3.671830e+10, price=0.036011
XTZ: market_cap=1.306904e+09, circulating_supply=1.023233e+09, price=1.277231
MKR: market_cap=1.293160e+09, circulating_supply=8.926215e+05, price=1448.722000
QNT: market_cap=1.271975e+09, circulating_supply=1.207274e+07, price=105.359287
KCS: market_cap=1.264323e+09, circulating_supply=1.226655e+08, price=10.307078
BRETT: market_cap=1.254782e+09, circulating_supply=9.910236e+09, price=0.126615
PYTH: market_cap=1.239066e+09, circulating_supply=3.624989e+09, price=0.341812
EOS: market_cap=1.235227e+09, circulating_supply=1.538774e+09, price=0.802735
BEAM: market_cap=1.199081e+09, circulating_supply=4.946600e+10, price=0.024241
KAIA: market_cap=1.192322e+09, circulating_supply=5.914044e+09, price=0.201609
AIOZ: market_cap=1.178217e+09, circulating_supply=1.148973e+09, price=1.025452
IOTA: market_cap=1.175767e+09, circulating_supply=3.593122e+09, price=0.327227
ENS: market_cap=1.159815e+09, circulating_supply=3.535844e+07, price=32.801638
BTT: market_cap=1.132027e+09, circulating_supply=9.860611e+14, price=0.000001
JUP: market_cap=1.124580e+09, circulating_supply=1.350000e+09, price=0.833022
FLOW: market_cap=1.117569e+09, circulating_supply=1.554936e+09, price=0.718724
CRV: market_cap=1.095589e+09, circulating_supply=1.264096e+09, price=0.866698
STRK: market_cap=1.085664e+09, circulating_supply=2.419112e+09, price=0.448786
FARTCOIN: market_cap=1.079890e+09, circulating_supply=9.999983e+08, price=1.079892
AR: market_cap=1.046762e+09, circulating_supply=6.565247e+07, price=15.943993
BSV: market_cap=1.041648e+09, circulating_supply=1.980833e+07, price=52.586379
HNT: market_cap=1.038130e+09, circulating_supply=1.761255e+08, price=5.894265
NEO: market_cap=1.008269e+09, circulating_supply=7.053883e+07, price=14.293814
DYDX: market_cap=9.902940e+08, circulating_supply=7.211952e+08, price=1.373129
CORE: market_cap=9.898890e+08, circulating_supply=9.332529e+08, price=1.060687
